DATE,SYMBOL,HP,LP,OP,CP,YCP
1/1/2020,1,4.6,4.5,4.5,4.5,4.4
1/2/2020,1,4.4,4.4,4.4,4.4,4.5
1/5/2020,1,4.5,4.4,4.5,4.4,4.4
1/6/2020,1,4.6,4.4,4.5,4.5,4.4
1/7/2020,1,4.5,4.4,4.4,4.4,4.5
1/8/2020,1,4.4,4.2,4.2,4.4,4.4
1/9/2020,1,4.4,4.3,4.3,4.3,4.4
1/12/2020,1,4.4,4.3,4.3,4.4,4.3
1/13/2020,1,4.3,4.2,4.3,4.3,4.4
1/14/2020,1,4.3,4.1,4.1,4.2,4.3
1/15/2020,1,4.2,4.1,4.2,4.2,4.2
1/16/2020,1,4.3,4.2,4.2,4.3,4.2
1/19/2020,1,4.5,4.3,4.3,4.4,4.3
1/20/2020,1,4.4,4.4,4.4,4.4,4.4
1/21/2020,1,4.4,4.3,4.3,4.3,4.4
1/22/2020,1,4.6,4.4,4.4,4.5,4.3
1/23/2020,1,4.6,4.5,4.6,4.5,4.5
1/26/2020,1,4.6,4.4,4.6,4.4,4.5
1/27/2020,1,4.5,4.4,4.4,4.4,4.4
1/28/2020,1,4.5,4.3,4.4,4.4,4.4
1/29/2020,1,4.4,4.3,4.4,4.4,4.4
1/30/2020,1,4.4,4.3,4.4,4.4,4.4
2/2/2020,1,4.4,4.3,4.4,4.3,4.4
2/3/2020,1,4.7,4.3,4.3,4.6,4.3
2/4/2020,1,4.8,4.5,4.6,4.6,4.6
2/5/2020,1,4.6,4.5,4.6,4.5,4.6
2/6/2020,1,4.5,4.4,4.4,4.5,4.5
2/9/2020,1,4.7,4.5,4.5,4.5,4.5
2/10/2020,1,4.5,4.4,4.5,4.5,4.5
2/11/2020,1,4.8,4.6,4.6,4.7,4.5
2/12/2020,1,5.1,4.8,4.8,4.9,4.7
2/13/2020,1,4.9,4.6,4.9,4.8,4.9
2/16/2020,1,5,4.8,4.9,4.9,4.8
2/17/2020,1,4.9,4.7,4.8,4.8,4.9
2/18/2020,1,5,4.8,4.9,4.8,4.8
2/19/2020,1,5.1,4.8,4.9,5,4.8
2/20/2020,1,5,4.8,5,4.9,5
2/23/2020,1,4.9,4.5,4.9,4.8,4.9
2/24/2020,1,4.8,4.6,4.6,4.7,4.8
2/25/2020,1,4.8,4.6,4.8,4.6,4.7
2/26/2020,1,4.7,4.5,4.7,4.6,4.6
2/27/2020,1,4.7,4.5,4.7,4.6,4.6
3/1/2020,1,4.6,4.4,4.6,4.5,4.6
3/2/2020,1,4.6,4.5,4.5,4.5,4.5
3/3/2020,1,4.7,4.4,4.5,4.4,4.5
3/4/2020,1,4.7,4.4,4.6,4.5,4.4
3/5/2020,1,4.6,4.4,4.5,4.5,4.5
3/8/2020,1,4.6,4.4,4.5,4.5,4.5
3/9/2020,1,4.5,4.1,4.4,4.1,4.5
